ResponseId,Group,Correct,Regret,Female,Age,Educ,Income,Ideology,PID,PID0,PID1,PID2,PID3,Knowledge,Voted,VotedAnaya,VotedObrador,NewVote,ExtEffi,IntEffi,Trust_Media,Satisficer,M1,M2,M3,M,W
R_WoOiwyvRKzGX9bH,Control,5,0,0,43,5,5,2,MORENA-PT-PES,0,0,0,1,3,1,0,1,0,1,2,3,0,0,0,1,1,4.225684916201117
R_3IW8v1MBU4DmrBl,Control,5,0,0,46,5,7,5,MORENA-PT-PES,0,0,0,1,2,1,0,1,0,3,4,4,0,0,0,1,1,4.225684916201117
R_3KDczyOouPCFvxh,Control,3,0,1,38,5,4,5,Etc,1,0,0,0,0,0,0,0,0,3,3,3,0,0,0,1,1,4.367588288288288
R_3lEcCols6O5cXBk,Treat2,5,0,0,56,5,16,5,Etc,1,0,0,0,0,1,0,0,0,4,5,4,0,0,1,0,1,4.510031297709924
R_3hGYSpb6zD1vYXS,Control,4,0,0,53,5,19,4,Etc,1,0,0,0,3,1,0,0,0,4,4,2,0,0,0,1,1,4.510031297709924
R_1rALRz9tgvcOYUg,Treat2,4,0,1,47,5,9,6,MORENA-PT-PES,0,0,0,1,0,1,0,1,0,4,5,4,0,0,0,0,0,4.95065380116959
R_1EYEFQBdEHMTgLs,Treat2,5,0,1,47,5,20,5,Etc,1,0,0,0,3,1,0,1,0,5,5,3,0,0,0,0,0,4.95065380116959
R_1JJIsTZGmVV8zcr,Treat2,5,0,1,43,5,4,5,MORENA-PT-PES,0,0,0,1,2,1,0,1,0,5,5,2,0,0,0,0,0,4.95065380116959
R_XzfdAoRBLrFQJwt,Control,2,1,1,52,6,9,5,Etc,1,0,0,0,2,1,0,1,1,4,4,3,0,0,0,1,1,6.300476699029127
R_3m8ETIZgIskQaEC,Treat1,2,0,0,46,5,10,1,Etc,1,0,0,0,3,1,0,1,0,4,4,2,0,0,0,0,0,4.225684916201117
R_1MXUvEk8P3kYkbX,Control,3,1,0,51,3,7,8,MORENA-PT-PES,0,0,0,1,2,1,0,1,1,4,5,4,0,0,0,1,1,4.510031297709924
R_3NFoR3pDgpWojyZ,Treat2,4,0,0,59,5,11,6,MORENA-PT-PES,0,0,0,1,1,1,0,1,0,4,4,3,0,0,1,0,1,4.510031297709924
R_27gml0CcT4EzQ6x,Treat2,4,0,1,50,5,16,4,Etc,1,0,0,0,2,1,0,1,0,5,5,4,0,0,0,0,0,6.300476699029127
R_2cbliHUwrFDrMMr,Control,5,0,0,63,5,10,3,Etc,1,0,0,0,0,1,0,1,0,4,5,2,0,0,0,1,1,4.742160256410257
R_3h6CAGkCdRiPa9R,Treat1,5,0,0,51,7,20,0,MORENA-PT-PES,0,0,0,1,2,1,0,1,0,5,5,1,0,0,0,0,0,4.510031297709924
R_3EmRAtKyL9kOaiV,Treat2,5,0,0,63,5,9,6,PRI-PVEM-PNA,0,0,1,0,3,1,0,0,0,5,5,4,0,0,1,0,1,4.742160256410257
R_1K8B7Y6qnftYJ1y,Treat1,3,1,1,55,5,10,5,Etc,1,0,0,0,2,0,0,0,1,1,4,4,0,1,0,0,1,6.300476699029127
R_2QGnBbj4vQDL3mH,Control,5,0,0,64,5,13,6,MORENA-PT-PES,0,0,0,1,1,1,0,1,0,2,5,3,0,0,0,1,1,4.742160256410257
R_2xQOTy1dujvhW2d,Treat1,4,0,1,55,5,15,5,Etc,1,0,0,0,0,1,0,0,0,5,5,4,0,0,0,0,0,6.300476699029127
R_2ZIiB7Nf5GFRYag,Control,5,0,0,60,4,2,7,Etc,1,0,0,0,0,1,0,1,0,4,4,2,0,0,0,1,1,4.742160256410257
R_1dFfCkSiAOEX7GQ,Treat1,4,0,0,56,5,3,5,Etc,1,0,0,0,2,1,0,1,0,5,5,2,0,0,0,0,0,4.510031297709924
R_2tnTGyAUGgvHhCz,Control,5,0,1,54,3,3,6,Etc,1,0,0,0,0,1,0,0,0,1,4,2,0,0,0,1,1,6.300476699029127
R_31yAtyNvbaR5W4u,Treat2,5,0,1,54,3,5,6,Etc,1,0,0,0,1,1,0,0,0,2,2,2,0,0,1,0,1,6.300476699029127
R_1GwaNqONcb8IIsQ,Treat1,4,0,0,63,5,12,7,Etc,1,0,0,0,2,1,0,0,0,2,3,5,0,0,0,0,0,4.742160256410257
R_4YDnNYDeSqa1fhL,Treat1,5,0,0,58,5,11,2,MORENA-PT-PES,0,0,0,1,1,1,0,1,0,5,5,4,0,1,0,0,1,4.510031297709924
R_1pXKjakQmIbKcrQ,Treat1,5,0,0,56,2,8,2,MORENA-PT-PES,0,0,0,1,1,1,0,1,0,4,2,2,0,0,0,0,0,4.510031297709924
R_6ERFhImrDjMM6g9,Treat2,2,0,0,56,4,3,6,Etc,1,0,0,0,1,1,0,1,0,4,2,2,0,0,0,0,0,4.510031297709924
R_3QSEX5xY6f0ersd,Treat1,1,1,0,50,5,6,5,Etc,1,0,0,0,3,1,0,1,1,5,3,4,0,1,0,0,1,4.510031297709924
